ID Evento,Data,Hora,ID Usuário,Usuário,E-mail,Idade,Cidade/UF,Gênero (Usuário),Data de Cadastro,Título,Gênero,Tipo,Episódios Assistidos,Duração da Sessão (min),Tempo Assistido (min),% Assistido,Concluiu?,Dispositivo
278,2026-08-01,22:15,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,The Last Dance,Documentário,Documentário,-,89,79,0.89,Não,Celular
279,2026-08-02,09:30,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,007 - Operação Skyfall,Ação,Filme,-,106,96,0.91,Sim,Celular
280,2026-08-02,12:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Interestelar,Ficção Científica,Filme,-,101,82,0.81,Não,Celular
281,2026-08-02,15:15,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Senna,Documentário,Documentário,-,87,84,0.97,Sim,Tablet
282,2026-08-02,16:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,O Silêncio dos Inocentes,Suspense,Filme,-,107,88,0.82,Não,Celular
283,2026-08-02,19:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Blade Runner,Ficção Científica,Filme,-,107,66,0.62,Não,Celular
284,2026-08-02,22:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,A Chegada,Ficção Científica,Filme,-,117,110,0.94,Sim,Celular
285,2026-08-03,11:30,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Atividade Paranormal,Terror,Filme,-,112,104,0.93,Sim,Notebook/PC
286,2026-08-03,12:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Modern Family,Comédia,Série,2,110,104,0.95,Sim,Celular
287,2026-08-03,18:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,"Se Beber, Não Case!",Comédia,Filme,-,107,95,0.89,Não,Smart TV
288,2026-08-03,19:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Succession,Drama,Série,1,42,18,0.42,Não,Celular
289,2026-08-05,11:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Arquivo X,Ficção Científica,Série,1,39,30,0.76,Não,Console
290,2026-08-05,14:45,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,The Crown,Drama,Série,1,54,52,0.96,Sim,Smart TV
291,2026-08-05,17:00,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Democracia em Vertigem,Documentário,Documentário,-,79,41,0.52,Não,Notebook/PC
292,2026-08-05,22:15,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Blade Runner,Ficção Científica,Filme,-,107,52,0.49,Não,Notebook/PC
293,2026-08-06,18:15,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,O Iluminado,Terror,Filme,-,85,76,0.89,Não,Celular
294,2026-08-06,18:45,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,The Crown,Drama,Série,1,54,21,0.38,Não,Smart TV
295,2026-08-06,19:15,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,IT A Coisa,Terror,Filme,-,106,51,0.48,Não,Celular
296,2026-08-07,08:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,The Office (US),Comédia,Série,3,162,32,0.2,Não,Smart TV
297,2026-08-07,10:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Fleabag,Comédia,Série,4,232,227,0.98,Sim,Console
298,2026-08-07,14:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Olhos que Condenam,Drama,Minissérie,1,35,33,0.95,Sim,Smart TV
299,2026-08-08,07:45,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Band of Brothers,Ação,Minissérie,4,172,169,0.98,Sim,Notebook/PC
300,2026-08-08,09:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Democracia em Vertigem,Documentário,Documentário,-,79,72,0.91,Sim,Notebook/PC
301,2026-08-08,09:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,American Horror Story,Terror,Série (antologia),3,135,103,0.76,Não,Celular
302,2026-08-08,12:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Modern Family,Comédia,Série,1,55,14,0.26,Não,Console
303,2026-08-08,23:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,O Silêncio dos Inocentes,Suspense,Filme,-,107,93,0.87,Não,Celular
304,2026-08-09,09:45,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Como se Fosse a Primeira Vez,Romance,Filme,-,100,89,0.89,Não,Celular
305,2026-08-09,11:15,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,A Linha Tênue,Documentário,Documentário,-,120,106,0.88,Não,Smart TV
306,2026-08-09,11:30,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,"Se Beber, Não Case!",Comédia,Filme,-,107,22,0.21,Não,Smart TV
307,2026-08-09,11:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,The Boys,Ação,Série,1,54,49,0.9,Sim,Smart TV
308,2026-08-09,13:45,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Hereditário,Terror,Filme,-,95,89,0.94,Sim,Smart TV
309,2026-08-09,14:30,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,The Crown,Drama,Série,2,108,23,0.21,Não,Smart TV
310,2026-08-09,15:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Dark,Ficção Científica,Série,4,168,29,0.17,Não,Notebook/PC
311,2026-08-09,18:30,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Titanic,Romance,Filme,-,129,66,0.51,Não,Smart TV
312,2026-08-09,22:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Blade Runner,Ficção Científica,Filme,-,107,19,0.18,Não,Celular
313,2026-08-10,16:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Sherlock,Suspense,Série,3,147,137,0.93,Sim,Notebook/PC
314,2026-08-10,21:00,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Mad Max: Estrada da Fúria,Ação,Filme,-,105,101,0.96,Sim,Celular
315,2026-08-11,08:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,007 - Operação Skyfall,Ação,Filme,-,106,56,0.53,Não,Notebook/PC
316,2026-08-11,11:30,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Clube da Luta,Drama,Filme,-,103,93,0.9,Sim,Smart TV
317,2026-08-11,23:15,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,The Last of Us,Terror,Série,1,41,36,0.89,Não,Console
318,2026-08-12,09:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Interestelar,Ficção Científica,Filme,-,101,90,0.89,Não,Notebook/PC
319,2026-08-12,11:45,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,A Linha Tênue,Documentário,Documentário,-,120,104,0.87,Não,Smart TV
320,2026-08-12,16:15,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,The Crown,Drama,Série,2,108,96,0.89,Não,Smart TV
321,2026-08-12,17:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Matrix,Ficção Científica,Filme,-,147,143,0.97,Sim,Tablet
322,2026-08-12,21:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,BoJack Horseman,Animação,Série (animação),1,52,11,0.21,Não,Notebook/PC
323,2026-08-13,07:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Blade Runner,Ficção Científica,Filme,-,107,104,0.97,Sim,Smart TV
324,2026-08-13,18:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Um Contratempo,Suspense,Filme,-,139,133,0.96,Sim,Smart TV
325,2026-08-13,19:45,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,O Rei Leão,Animação,Filme (animação),-,99,21,0.21,Não,Smart TV
326,2026-08-13,22:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,O Silêncio dos Inocentes,Suspense,Filme,-,107,107,1,Sim,Tablet
327,2026-08-13,22:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Piratas do Caribe: A Maldição do Pérola Negra,Fantasia,Filme,-,120,73,0.61,Não,Smart TV
328,2026-08-14,20:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Black Mirror,Ficção Científica,Série (antologia),2,84,73,0.87,Não,Console
329,2026-08-15,11:00,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Bridgerton,Romance,Série,1,55,35,0.64,Não,Celular
330,2026-08-15,18:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,O Auto da Compadecida,Comédia,Filme,-,106,95,0.9,Sim,Tablet
331,2026-08-15,23:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,O Auto da Compadecida,Comédia,Filme,-,106,81,0.76,Não,Celular
332,2026-08-16,08:30,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,A Chegada,Ficção Científica,Filme,-,117,27,0.23,Não,Smart TV
333,2026-08-16,08:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,2001: Uma Odisseia no Espaço,Ficção Científica,Filme,-,140,98,0.7,Não,Notebook/PC
334,2026-08-17,22:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,2001: Uma Odisseia no Espaço,Ficção Científica,Filme,-,140,126,0.9,Sim,Tablet
335,2026-08-18,09:15,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Parasita,Drama,Filme,-,111,104,0.94,Sim,Console
336,2026-08-18,15:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Breaking Bad,Drama,Série,2,82,35,0.43,Não,Smart TV
337,2026-08-18,18:45,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Sherlock,Suspense,Série,2,98,93,0.95,Sim,Celular
338,2026-08-18,19:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Interestelar,Ficção Científica,Filme,-,101,31,0.31,Não,Smart TV
339,2026-08-19,07:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,The Crown,Drama,Série,4,216,186,0.86,Não,Smart TV
340,2026-08-19,08:00,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,O Poderoso Chefão,Drama,Filme,-,111,105,0.95,Sim,Celular
341,2026-08-19,11:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Titanic,Romance,Filme,-,129,128,0.99,Sim,Smart TV
342,2026-08-19,15:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Chernobyl,Drama,Minissérie,1,51,10,0.19,Não,Smart TV
343,2026-08-19,16:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Matrix,Ficção Científica,Filme,-,147,56,0.38,Não,Celular
344,2026-08-19,19:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Outlander,Romance,Série,1,54,48,0.89,Não,Celular
345,2026-08-20,08:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Atividade Paranormal,Terror,Filme,-,112,108,0.96,Sim,Celular
346,2026-08-20,18:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Vikings,Ação,Série,1,58,37,0.63,Não,Tablet
347,2026-08-21,17:45,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,O Exorcista,Terror,Filme,-,102,90,0.88,Não,Smart TV
348,2026-08-21,23:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Mindhunter,Suspense,Série,2,104,103,0.99,Sim,Smart TV
349,2026-08-22,08:30,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Rick and Morty,Animação,Série (animação),3,171,154,0.9,Sim,Smart TV
350,2026-08-22,14:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Todo Mundo em Pânico,Comédia,Filme,-,105,67,0.64,Não,Smart TV
351,2026-08-22,19:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Demolidor,Ação,Série,3,108,77,0.71,Não,Console
352,2026-08-22,21:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,As Branquelas,Comédia,Filme,-,114,104,0.91,Sim,Smart TV
353,2026-08-23,10:15,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,O Iluminado,Terror,Filme,-,85,82,0.96,Sim,Smart TV
354,2026-08-23,17:45,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,A Máfia dos Tigres (Tiger King),Documentário,Documentário,-,93,87,0.94,Sim,Smart TV
355,2026-08-23,19:15,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Mad Max: Estrada da Fúria,Ação,Filme,-,105,100,0.95,Sim,Notebook/PC
356,2026-08-23,23:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Um Sonho de Liberdade,Drama,Filme,-,154,77,0.5,Não,Smart TV
357,2026-08-24,20:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Blade Runner,Ficção Científica,Filme,-,107,70,0.65,Não,Celular
358,2026-08-24,22:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,The Expanse,Ficção Científica,Série,3,114,113,0.99,Sim,Smart TV
359,2026-08-25,12:45,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,O Labirinto do Fauno,Fantasia,Filme,-,158,147,0.93,Sim,Console
360,2026-08-25,13:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Mad Max: Estrada da Fúria,Ação,Filme,-,105,88,0.84,Não,Tablet
361,2026-08-25,17:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Missa da Meia-Noite,Terror,Minissérie,3,114,113,0.99,Sim,Smart TV
362,2026-08-25,21:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Clube da Luta,Drama,Filme,-,103,42,0.41,Não,Celular
363,2026-08-25,21:30,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Band of Brothers,Ação,Minissérie,1,43,15,0.35,Não,Smart TV
364,2026-08-26,15:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Heartstopper,Romance,Série,3,159,65,0.41,Não,Tablet
365,2026-08-26,17:45,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,007 - Operação Skyfall,Ação,Filme,-,106,87,0.82,Não,Smart TV
366,2026-08-26,19:00,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Nosso Planeta,Documentário,Documentário (natureza),-,81,79,0.97,Sim,Smart TV
367,2026-08-26,19:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Demolidor,Ação,Série,2,72,66,0.92,Sim,Smart TV
368,2026-08-26,21:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Mindhunter,Suspense,Série,1,52,8,0.15,Não,Celular
369,2026-08-27,13:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,American Horror Story,Terror,Série (antologia),1,45,4,0.09,Não,Smart TV
370,2026-08-27,16:00,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Shrek 2,Animação,Filme (animação),-,97,84,0.87,Não,Celular
371,2026-08-27,22:15,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,O Labirinto do Fauno,Fantasia,Filme,-,158,141,0.89,Não,Tablet
372,2026-08-28,16:45,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,O Exorcista,Terror,Filme,-,102,69,0.68,Não,Tablet
373,2026-08-29,10:00,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Ilha das Flores,Documentário,Curta-documentário,-,12,12,0.97,Sim,Smart TV
374,2026-08-29,12:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Arquivo X,Ficção Científica,Série,2,78,23,0.29,Não,Smart TV
375,2026-08-29,17:15,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Reacher,Ação,Série,1,49,28,0.57,Não,Celular
376,2026-08-29,20:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Duro de Matar,Ação,Filme,-,124,112,0.9,Sim,Smart TV
377,2026-08-29,22:45,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Psicose,Suspense,Filme,-,130,61,0.47,Não,Notebook/PC
378,2026-08-29,23:45,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Duro de Matar,Ação,Filme,-,124,109,0.88,Não,Tablet
379,2026-08-30,09:45,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Breaking Bad,Drama,Série,3,123,12,0.1,Não,Celular
380,2026-08-30,13:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Kill Bill: Volume 1,Ação,Filme,-,122,105,0.86,Não,Celular
381,2026-08-30,13:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Ruptura,Ficção Científica,Série,2,116,51,0.44,Não,Celular
382,2026-08-30,18:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Matrix,Ficção Científica,Filme,-,147,146,0.99,Sim,Console
383,2026-08-30,20:15,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Arquivo X,Ficção Científica,Série,3,117,105,0.9,Sim,Celular
384,2026-08-31,11:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Akira,Animação,Filme (animação),-,93,11,0.12,Não,Smart TV
385,2026-08-31,17:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Atividade Paranormal,Terror,Filme,-,112,97,0.87,Não,Console
386,2026-09-01,15:00,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,O Auto da Compadecida,Comédia,Filme,-,106,102,0.96,Sim,Tablet
387,2026-09-01,21:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,The Crown,Drama,Série,1,54,52,0.96,Sim,Notebook/PC
388,2026-09-02,17:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,The Expanse,Ficção Científica,Série,1,38,22,0.58,Não,Smart TV
389,2026-09-02,18:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Interestelar,Ficção Científica,Filme,-,101,98,0.97,Sim,Notebook/PC
390,2026-09-02,20:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,La Casa de Papel,Suspense,Série,3,144,20,0.14,Não,Tablet
391,2026-09-02,22:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,2001: Uma Odisseia no Espaço,Ficção Científica,Filme,-,140,129,0.92,Sim,Celular
392,2026-09-03,11:00,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,O Mistério de Jinx,Documentário,Documentário,-,89,77,0.86,Não,Notebook/PC
393,2026-09-03,11:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,A Maldição da Residência Hill,Terror,Série,1,43,38,0.88,Não,Celular
394,2026-09-03,18:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Succession,Drama,Série,3,126,125,0.99,Sim,Smart TV
395,2026-09-03,20:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Ruptura,Ficção Científica,Série,2,116,107,0.92,Sim,Celular
396,2026-09-03,23:30,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Chernobyl,Drama,Minissérie,2,102,47,0.46,Não,Notebook/PC
397,2026-09-04,10:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Band of Brothers,Ação,Minissérie,1,43,25,0.59,Não,Tablet
398,2026-09-04,10:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Fleabag,Comédia,Série,3,174,151,0.87,Não,Tablet
399,2026-09-04,12:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,A Máfia dos Tigres (Tiger King),Documentário,Documentário,-,93,23,0.25,Não,Celular
400,2026-09-04,16:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Kill Bill: Volume 1,Ação,Filme,-,122,117,0.96,Sim,Smart TV
401,2026-09-04,23:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Breaking Bad,Drama,Série,1,41,26,0.63,Não,Smart TV
402,2026-09-05,07:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Como se Fosse a Primeira Vez,Romance,Filme,-,100,87,0.87,Não,Notebook/PC
403,2026-09-05,16:30,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,A Maldição da Residência Hill,Terror,Série,1,43,30,0.69,Não,Celular
404,2026-09-05,21:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,A Chegada,Ficção Científica,Filme,-,117,111,0.95,Sim,Celular
405,2026-09-05,22:30,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Succession,Drama,Série,1,42,16,0.39,Não,Tablet
406,2026-09-05,23:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,O Sexto Sentido,Suspense,Filme,-,136,84,0.62,Não,Notebook/PC
407,2026-09-06,07:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Chernobyl,Drama,Minissérie,1,51,50,0.99,Sim,Notebook/PC
408,2026-09-06,08:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,"Bom Dia, Verônica",Suspense,Série,2,106,105,0.99,Sim,Celular
409,2026-09-06,09:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Hereditário,Terror,Filme,-,95,15,0.16,Não,Smart TV
410,2026-09-07,08:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,O Auto da Compadecida,Comédia,Filme,-,106,65,0.61,Não,Notebook/PC
411,2026-09-07,10:45,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Psicose,Suspense,Filme,-,130,70,0.54,Não,Smart TV
412,2026-09-07,11:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Tropa de Elite,Ação,Filme,-,122,110,0.9,Sim,Notebook/PC
413,2026-09-07,16:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Parasita,Drama,Filme,-,111,84,0.76,Não,Smart TV
414,2026-09-09,08:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Ilha do Medo,Suspense,Filme,-,140,137,0.98,Sim,Tablet
415,2026-09-09,09:30,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,IT A Coisa,Terror,Filme,-,106,94,0.89,Não,Notebook/PC
